Time,Temp (C),Gas (Ohm),Humidity (%),PM 1.0: %d,PM 2.5: %d,PM 10: %d
1740615611.9029555,25.0005078125,114962,31.866199702944474,0,0,0
1740615612.9149325,25.0024609375,115677,31.849571479974134,0,0,0
1740615613.9267209,25.0034375,115997,31.860860073776465,0,0,0
1740615614.9385045,25.0034375,116643,31.832857979985274,0,0,0
1740615615.9495337,25.0036328125,116319,31.82727562068292,0,0,0
1740615616.961251,25.003046875,116725,31.821623836247618,0,0,0
1740615617.9730508,25.0036328125,116481,31.82727562068292,0,0,0
1740615618.9848063,25.0036328125,116562,31.816076721702945,0,0,0
1740615619.9966044,25.0051953125,117133,31.805017898729844,0,0,0
1740615621.007249,25.0065625,117379,31.799540979269246,0,0,0
1740615622.0178776,25.0067578125,117626,31.7995583786345,0,0,0
1740615623.028537,25.0075390625,117215,31.794029447717485,0,0,0
1740615624.039203,25.0096875,118041,31.783024350722,0,0,0
1740615625.0498672,25.0118359375,118458,31.78321566747102,0,0,0
1740615626.0615728,25.0153515625,118124,31.7835287402496,0,0,0
1740615627.0734055,25.0180859375,117875,31.77817423032303,0,0,0
1740615628.0852315,25.0221875,118794,31.78413752488283,0,0,0
1740615629.096792,25.0253125,118291,31.778817727333085,0,0,0
1740615630.1085863,25.0253125,118041,31.784415840509173,0,0,0
1740615631.120326,25.0253125,119048,31.767622148848236,0,0,0
1740615632.132143,25.0255078125,119814,31.77883511979973,0,0,0
1740615633.14383,25.0262890625,120158,31.7621116079167,0,0,0
1740615634.1555831,25.026484375,119643,31.76772647352504,0,0,0
1740615635.1672559,25.026484375,119900,31.750934679503384,0,0,0
1740615636.1791031,25.0262890625,120330,31.7621116079167,0,0,0
1740615637.1907732,25.026875,120244,31.750969439350566,0,0,0
1740615638.2019217,25.0290234375,120590,31.75116062097525,0,0,0
1740615639.2136254,25.0305859375,120677,31.751299664777097,0,0,0
1740615640.2253025,25.0309765625,122352,31.75133442607232,0,0,0
1740615641.2371197,25.0309765625,121377,31.756931533523364,0,0,0
1740615642.2488234,25.0317578125,120764,31.762598400362375,0,0,0
1740615643.2606657,25.032734375,121114,31.757087984041572,0,0,0
1740615644.2726734,25.033125,122263,31.76272010269843,0,0,0
1740615645.284447,25.0341015625,122352,31.768404614191194,0,0,0
1740615646.2962103,25.035859375,121641,31.768561115641184,0,0,0
1740615647.308084,25.0403515625,121907,31.791353883761737,0,0,0
1740615648.3191576,25.0440625,121818,31.79168449404394,0,0,0
1740615649.3311656,25.046015625,121818,31.808655599589635,0,0,0
1740615650.3429646,25.049921875,123071,31.803404485262643,0,0,0
1740615651.354795,25.053046875,122531,31.80928234146883,0,0,0
1740615652.3666697,25.0534375,122891,31.814916722429405,0,0,0
1740615653.378767,25.0540234375,123252,31.82616874529153,0,0,0
1740615654.390643,25.0565625,122891,31.80399634361777,0,0,0
1740615655.4024556,25.058125,123799,31.798536420155276,0,0,0
1740615656.4143374,25.0618359375,121907,31.810065831731766,0,0,0
1740615657.426102,25.0649609375,123525,31.815944134233128,0,0,0
1740615658.437382,25.0700390625,123799,31.821996923821587,0,0,0
1740615659.4491718,25.074921875,122981,31.833633153295587,0,0,0
1740615660.4612007,25.0778515625,123525,31.85629879069095,0,0,0
1740615661.4730744,25.0809765625,124350,31.867781266744878,0,0,0
1740615662.4848714,25.0815625,124166,31.867833588693212,0,0,0
1740615663.496705,25.083125,124628,31.867973115409548,0,0,0
1740615664.5085077,25.085859375,123982,31.851412155856753,0,0,0
1740615665.5203335,25.088984375,126035,31.840488674612114,0,0,0
1740615666.5321982,25.0930859375,125562,31.852057230053184,0,0,0
1740615667.5440116,25.095625,125000,31.841081288813065,0,0,0
